Spurious	Causal	Proportion	Model
536	1	 5-5-90	Armitage trend $\chi^2$
381	0	 5-5-90	Armitage trend $\chi^2$
249	1	 5-5-90	Armitage trend $\chi^2$
912	1	 5-5-90	Armitage trend $\chi^2$
811	1	 5-5-90	Armitage trend $\chi^2$
337	1	 5-5-90	Armitage trend $\chi^2$
282	0	 5-5-90	Armitage trend $\chi^2$
713	1	 5-5-90	Armitage trend $\chi^2$
536	4	 5-5-90	Armitage trend $\chi^2$
325	1	 5-5-90	Armitage trend $\chi^2$
513	0	 5-5-90	Armitage trend $\chi^2$
222	1	 5-5-90	Armitage trend $\chi^2$
504	1	 5-5-90	Armitage trend $\chi^2$
426	1	 5-5-90	Armitage trend $\chi^2$
781	5	 5-5-90	Armitage trend $\chi^2$
787	2	 5-5-90	Armitage trend $\chi^2$
308	0	 5-5-90	Armitage trend $\chi^2$
597	1	 5-5-90	Armitage trend $\chi^2$
663	2	 5-5-90	Armitage trend $\chi^2$
468	0	 5-5-90	Armitage trend $\chi^2$
160	0	 5-5-90	Armitage trend $\chi^2$
290	0	 5-5-90	Armitage trend $\chi^2$
307	2	 5-5-90	Armitage trend $\chi^2$
586	1	 5-5-90	Armitage trend $\chi^2$
590	3	 5-5-90	Armitage trend $\chi^2$
460	0	 5-5-90	Armitage trend $\chi^2$
242	2	 5-5-90	Armitage trend $\chi^2$
895	2	 5-5-90	Armitage trend $\chi^2$
266	1	 5-5-90	Armitage trend $\chi^2$
431	1	 5-5-90	Armitage trend $\chi^2$
971	2	 5-5-90	Armitage trend $\chi^2$
630	2	 5-5-90	Armitage trend $\chi^2$
466	1	 5-5-90	Armitage trend $\chi^2$
359	0	 5-5-90	Armitage trend $\chi^2$
674	1	 5-5-90	Armitage trend $\chi^2$
354	0	 5-5-90	Armitage trend $\chi^2$
85	0	 5-5-90	Armitage trend $\chi^2$
431	1	 5-5-90	Armitage trend $\chi^2$
623	1	 5-5-90	Armitage trend $\chi^2$
212	0	 5-5-90	Armitage trend $\chi^2$
129	0	 5-5-90	Armitage trend $\chi^2$
592	2	 5-5-90	Armitage trend $\chi^2$
360	0	 5-5-90	Armitage trend $\chi^2$
250	0	 5-5-90	Armitage trend $\chi^2$
756	0	 5-5-90	Armitage trend $\chi^2$
455	0	 5-5-90	Armitage trend $\chi^2$
561	3	 5-5-90	Armitage trend $\chi^2$
915	3	 5-5-90	Armitage trend $\chi^2$
525	1	 5-5-90	Armitage trend $\chi^2$
498	1	 5-5-90	Armitage trend $\chi^2$
